username,last_saved,run,topics,user_select,show_voided,sort_by_shot,ascending,null_shots_first,auto_update,auto_scroll,scroll_top,max_rows,fontsize,show_test,GUID,id
twf,1/27/05,1161115,"('AVAILABILITY','BES','BOLO','CECE','CFP','cnpa','CXRS','DATA_STORAGE','DISCHARGE_CLEAN','DNB','dust','ECE','EDGE','ENGOPS','FILD','FTCI','GPI','HALPHA','HIREX','HXR','IMPURITIES','LPI','MDS-PLUS','MINI_PROPOSAL','MSE','NEUTRALS','NEUTRONS','OPS','PHYSICS_OPERATOR','PI','PO_PLAN','PO_SUMMARY','POWER_SYSTEMS','PRESSURE','RANGEFINDER','REFLECTOMETER','RF','RF_REFLECTOMETER','SESSION_LEADER','SL_PLAN','SL_SUMMARY','SOFTWARE','SPECTROSCOPY','TCI','TESTING','TESTING2','THOMPSON','TRANSPORT','TTCI','video','XRAY_PHA','XTOMO','Z_METER')",ME,N,0,-1,-1,-1,-1,0,320,2,Y,{937927CC-D951-E711-ABE8-0050568A3DF0},{937927CC-D951-E711-ABE8-0050568A3DF0}
wolfe,1/27/05,1160920,"('BOLO','CXRS','DISCHARGE_CLEAN','DPCS','ECE','ENGOPS','HIREX','HYBRID','IMPURITIES','LH','LPI','MDS-PLUS','MHD','MSE','NEUTRALS','NEUTRONS','NEUTS_HARDS','PHYSICS_OPERATOR','PO_PLAN','PO_SUMMARY','POWER_SYSTEMS','RF','SESSION_LEADER','TESTING','THOMPSON','TRANSPORT','video','XTOMO','Z_METER')",ME,N,-1,-1,-1,-1,-1,0,320,3,N,{947927CC-D951-E711-ABE8-0050568A3DF0},{947927CC-D951-E711-ABE8-0050568A3DF0}
g,1/27/05,0,"('AVAILABILITY','BES','BOLO','CECE','CFP','cnpa','CXRS','DNB','DPCS','dust','ECE','EDGE','ENGOPS','FILD','FTCI','GPI','HALPHA','HIREX','HXR','HYBRID','IMPURITIES','LH','LPI','MDS-PLUS','MHD','MINI_PROPOSAL','MSE','NEUTRALS','NEUTRONS','NEUTS_HARDS','OPS','PCI','PHYSICS_OPERATOR','PI','PO_PLAN','PO_SUMMARY','polar','POWER_SYSTEMS','PRESSURE','RANGEFINDER','REFLECTOMETER','RF','RF_REFLECTOMETER','RGA','SESSION_LEADER','SL_PLAN','SL_SUMMARY','SOFTWARE','SPECTROSCOPY','TCI','TESTING','TESTING2','THOMPSON','TRANSPORT','TTCI','video','XRAY_PHA','XTOMO','Z_METER')",ME,N,-1,-1,-1,-1,-1,0,320,2,N,{957927CC-D951-E711-ABE8-0050568A3DF0},{957927CC-D951-E711-ABE8-0050568A3DF0}
labombard,1/31/05,1100223,"('DPCS','EDGE','GPI','MDS-PLUS','MHD','PHYSICS_OPERATOR','PO_PLAN','PO_SUMMARY','RF','SESSION_LEADER','SL_PLAN','SL_SUMMARY','SPECTROSCOPY')",ME,N,-1,0,0,-1,-1,-1,320,3,Y,{967927CC-D951-E711-ABE8-0050568A3DF0},{967927CC-D951-E711-ABE8-0050568A3DF0}
jas,1/31/05,930519,"('AVAILABILITY','BES','BOLO','CECE','CFP','cnpa','CXRS','DAQ_ERRORS','DATA_STORAGE','DISCHARGE_CLEAN','DNB','DPCS','dust','ECE','EDGE','ENGOPS','FILD','FTCI','GPI','HALPHA','HIREX','HXR','HYBRID','IMPURITIES','LH','LPI','MDS-PLUS','MHD','MINI_PROPOSAL','MSE','NEUTRALS','NEUTRONS','NEUTS_HARDS','OPS','PCI','PHYSICS_OPERATOR','PI','PO_PLAN','PO_SUMMARY','polar','POWER_SYSTEMS','PRESSURE','RANGEFINDER','REFLECTOMETER','RF','RF_MONITOR','RF_REFLECTOMETER','RGA','SESSION_LEADER','SL_PLAN','SL_SUMMARY','SOFTWARE','SPECTROSCOPY','TCI','TESTING','TESTING2','THOMPSON','TRANSPORT','TTCI','video','XRAY_PHA','XTOMO','Z_METER')",me,N,-1,-1,-1,-1,-1,0,320,1,N,{977927CC-D951-E711-ABE8-0050568A3DF0},{977927CC-D951-E711-ABE8-0050568A3DF0}
phillips,1/31/05,0,"('AVAILABILITY','DATA_STORAGE','ECE','HALPHA','OPS','PCI','PHYSICS_OPERATOR','REFLECTOMETER','RF','SESSION_LEADER','SL_SUMMARY','THOMPSON')",ME,N,-1,0,0,-1,-1,-1,80,1,,{987927CC-D951-E711-ABE8-0050568A3DF0},{987927CC-D951-E711-ABE8-0050568A3DF0}
hutch,2/4/05,1160930,"('PHYSICS_OPERATOR','PO_PLAN','SL_PLAN')",,N,-1,0,0,-1,-1,-1,80,1,Y,{997927CC-D951-E711-ABE8-0050568A3DF0},{997927CC-D951-E711-ABE8-0050568A3DF0}
rowan,2/9/05,1160901,"('PHYSICS_OPERATOR','PO_PLAN','PO_SUMMARY')",Me,N,-1,0,0,-1,-1,-1,80,1,Y,{9A7927CC-D951-E711-ABE8-0050568A3DF0},{9A7927CC-D951-E711-ABE8-0050568A3DF0}
whyte,2/11/05,1120907,"('AVAILABILITY','BES','BOLO','CECE','CFP','cnpa','CXRS','DAQ_ERRORS','DATA_STORAGE','DISCHARGE_CLEAN','DNB','DPCS','dust','ECE','EDGE','ENGOPS','FILD','FTCI','GPI','HALPHA','HIREX','HXR','HYBRID','IMPURITIES','LH','LPI','MDS-PLUS','MHD','MINI_PROPOSAL','MSE','NEUTRALS','NEUTRONS','NEUTS_HARDS','OPS','PCI','PHYSICS_OPERATOR','PI','PO_PLAN','PO_SUMMARY','polar','POWER_SYSTEMS','PRESSURE','RANGEFINDER','REFLECTOMETER','RF','RF_MONITOR','RF_REFLECTOMETER','RGA','SESSION_LEADER','SL_PLAN','SL_SUMMARY','SOFTWARE','SPECTROSCOPY','TCI','TESTING','TESTING2','THOMPSON','TRANSPORT','TTCI','video','XRAY_PHA','XTOMO','Z_METER')",whyte,N,-1,0,0,0,0,-1,80,2,Y,{9B7927CC-D951-E711-ABE8-0050568A3DF0},{9B7927CC-D951-E711-ABE8-0050568A3DF0}
wukitch,2/15/05,1120904,"('CXRS','DISCHARGE_CLEAN','ENGOPS','IMPURITIES','MHD','OPS','PCI','PHYSICS_OPERATOR','PO_PLAN','PO_SUMMARY','POWER_SYSTEMS','RF','RF_MONITOR','RF_REFLECTOMETER','SESSION_LEADER','SL_PLAN','SL_SUMMARY','SPECTROSCOPY')",,N,-1,0,0,-1,-1,-1,320,1,Y,{9C7927CC-D951-E711-ABE8-0050568A3DF0},{9C7927CC-D951-E711-ABE8-0050568A3DF0}
