username,template_name,text,entered,global,id,topic,GUID
vtang,prerun_test,"Morning test shot:
(Mean and StdeV, in V then in keV(0.7V-->60keV))
Ch1: 0.0088, 0.0337, 2.88keV
Ch2: -0.019, 0.0207, 1.77keV
Ch3: -0.00237, 0.0201, 1.73keV",6/22/05,,9,,{E97A27CC-D951-E711-ABE8-0050568A3DF0}
wukitch,dud,dud,7/6/05,,11,,{EE7A27CC-D951-E711-ABE8-0050568A3DF0}
wukitch,early disruption,early disruption,7/28/05,,12,,{EF7A27CC-D951-E711-ABE8-0050568A3DF0}
wukitch,fizzle,fizzle,11/18/05,,13,,{F07A27CC-D951-E711-ABE8-0050568A3DF0}
wukitch,no power,no power,7/29/05,,14,,{F17A27CC-D951-E711-ABE8-0050568A3DF0}
wukitch,no RF,no RF,7/28/05,,15,,{F27A27CC-D951-E711-ABE8-0050568A3DF0}
wukitch,OHresistance,reverse bridge test to lower OH resistance,11/18/05,,16,,{F37A27CC-D951-E711-ABE8-0050568A3DF0}
ylin,dud,Dud,8/10/05,,17,,{F57A27CC-D951-E711-ABE8-0050568A3DF0}
ylin,early_disruption,Early disruption ,8/10/05,,18,,{F67A27CC-D951-E711-ABE8-0050568A3DF0}
ylin,fizzle,Fizzle,8/10/05,,19,,{F77A27CC-D951-E711-ABE8-0050568A3DF0}
ylin,no_plasma_shot,No plasma test shot.,7/7/05,,20,,{F87A27CC-D951-E711-ABE8-0050568A3DF0}
ylin,rf_standard_op,"<b>Request</b>: Ip ~ 1 MA, Bt ~ 5.4 T, nl04 ~ 1e20m^-2, LSN, He3 puff 100 ms at .2 sec
D: 0.8 MW @ 1-1.5s.
E: 1.2 MW @ 1.2-1.5s. 
J: 1.5 MW @ 0.65-1.0s. heating phase [0,pi,0,pi], digital phase 315 degree, JVX_phase ~ 0.
<b>Result</b>: plasma full length. H-modes. 
D: ran. max faults. max length 80 ms.
E: ran. 2 faults
J: ran. 5 faults. 1.5 MW. max length 120 ms. <img src=""http://www.psfc.mit.edu/~ylin/emoticons/happy.gif"">
H/D ~ 0.06 - 0.15
<b>next:</b> repeat
",11/4/05,,21,,{F97A27CC-D951-E711-ABE8-0050568A3DF0}
ylin,SL_today,"B field at 4.5 T, Ip 1 MA, nl .9e20m^-2. Inner-wall limited.
RF on [.7, .9], [1.0, 1.2] and [1.3, 1.5] sec, Ramp-up from .2 MW to 3 MW.
200 ms He3 puff from .5 sec.
D(He3) mode conversion, heating (digital phase at 315). MC at R ~ 62 cm (?).
Result: Plasma to 1.2 sec
Not a thing in Vtor.
Oh, there was no Ar puff. (No He3 puff either)
Next: With Ar puff and He3 puff. repeat.",7/28/05,,22,,{FA7A27CC-D951-E711-ABE8-0050568A3DF0}
twf,Not Global,this is not a global,8/23/07,,24,,{E67A27CC-D951-E711-ABE8-0050568A3DF0}
twf,test3,this is a test3,8/23/07,,26,,{E87A27CC-D951-E711-ABE8-0050568A3DF0}
twf,engops,This is an engops template,8/23/07,,30,ENGOPS,{E47A27CC-D951-E711-ABE8-0050568A3DF0}
twf,no topic,testing with no topic,8/24/07,,45,None,{E57A27CC-D951-E711-ABE8-0050568A3DF0}
irby,ecdc,"time: Overnight
gas: D2 at 2e-4 Torr
sweep (rmin/rdwell/rmax): 44/45/103 cm
scan (tdwell/tsweep): 20/120 s",1/23/08,-1,58,DISCHARGE_CLEAN ,{BD7A27CC-D951-E711-ABE8-0050568A3DF0}
dominguez,QCMs,"Reflectometry shows clear QCMs from ~0.71s to >1.05s for channels 60, 75 and 88GHz (4.4, 6.9 and 9.6 E19 m^-3 cutoff ne) but not on channel 50GHz (3.1E20 m^-3 cutoff ne).  The QC frequencies are very low (~50KHz).",1/30/08,,59,REFLECTOMETER   ,{B57A27CC-D951-E711-ABE8-0050568A3DF0}
bose,LPI,"Position:
Barrel:
firing at:
Digitizer: 
trigger: 0.0s
recording: 512k at MHz
# Channels: 
Decoder: 
E0: pulse at s (used to trigger the camera if pellet doesn't)
E1: pulse at s (used to start the LeCroy 6810 digitizer)
Camera:
Rate:  micro-secods per frame
 post trigger samples
Operation Mode:  A Direct
Pre-amp setting: 1x10^4
Integration: 100%
Results:
",4/2/08,,68,LPI             ,{9F7A27CC-D951-E711-ABE8-0050568A3DF0}
dekow,Disassembly,"Machine Disassembly Log FY2008
**************************************
",6/20/08,,70,OPS             ,{B37A27CC-D951-E711-ABE8-0050568A3DF0}
rmchurch,Transmission-Benchtop,"Transmissions on benchtop
SETUP
Camera: Photon2
Fstop: 1.8
Controller Gain: 2
ADC Offset: 200
Camera Fiber: B10
Relay FIber: #56 0.4mm 6.5m
photonSetup.pro
Number of Frames: 10
Length of Frames: 80 msec
Time to Start: 0.00 sec
Labsphere
Power Source: LPS-045-H (small)
Halogen Lamp Source setting: HLS-100-30 (30 Watt) (2.780A, 10.46V)
701 background ~counts
702 relay fiber ~counts
703 fiber 1 ~counts
704 fiber 2 ~counts
...................
7xx relay fiber ~counts",4/27/09,,73,CXRS,{E27A27CC-D951-E711-ABE8-0050568A3DF0}
wolfe,F23 F25 patch,"<pre>
Keywords: F23 F25 ""dead flux loop"" ""Fix Predictors"" 
</pre>",6/21/09,,76,MHD             ,{EB7A27CC-D951-E711-ABE8-0050568A3DF0}
irby,dpcs_fizzle settings,"Approx sequence of events to change dpcs_fizzle parameters
         (physops should read Steve's email)
load programming from 1090731017 (or most recent $shot) seg 4  into seg 4.
OH waveforms should be modified as required
wires 1-7 should be zeroed (zero all)
build segment
sync goes to async
off goes to on
load --- open tree done
engineering operator should verify:
plc/hardware fizzle detector to 2.1 s
OH supply inversion times to 2.3 s
TF delay 600 ms
OH delay 500 ms
Once you are happy with the changes you should define $shot in the dpcs_fizzle routine to point to the current shot. ",8/4/09,-1,87,PHYSICS_OPERATOR,{BB7A27CC-D951-E711-ABE8-0050568A3DF0}
