id,name,first_shot,last_shot,run,job,active,brief,mp,GUID
1,DEKOW                         ,1040401002,1040401015,1040401,EO,0,,,{EB6D27CC-D951-E711-ABE8-0050568A3DF0}
3,DEKOW                         ,1040402001,1040402016,1040402,EO,0,,,{EC6D27CC-D951-E711-ABE8-0050568A3DF0}
10,rowan                         ,1040401001,1040401015,1040401,PO,0,,,{EA6D27CC-D951-E711-ABE8-0050568A3DF0}
11,G                             ,1040507001,1040507018,1040507,SL,0,,1756,{346E27CC-D951-E711-ABE8-0050568A3DF0}
12,marmar                        ,1040507001,1040507036,1040507,PO,0,,,{356E27CC-D951-E711-ABE8-0050568A3DF0}
13,unknown,911015001,911015002,911015,EO,0,,,{815727CC-D951-E711-ABE8-0050568A3DF0}
14,unknown,911016001,911016030,911016,EO,0,,,{865727CC-D951-E711-ABE8-0050568A3DF0}
15,unknown,911017001,911017022,911017,EO,0,,,{875727CC-D951-E711-ABE8-0050568A3DF0}
16,unknown,911019001,911019032,911019,EO,0,,,{8C5727CC-D951-E711-ABE8-0050568A3DF0}
17,unknown,911021001,911021031,911021,EO,0,,,{8D5727CC-D951-E711-ABE8-0050568A3DF0}
18,unknown,911022002,911022017,911022,EO,0,,,{925727CC-D951-E711-ABE8-0050568A3DF0}
19,unknown,911023001,911023025,911023,EO,0,,,{935727CC-D951-E711-ABE8-0050568A3DF0}
20,unknown,911024001,911024011,911024,EO,0,,,{985727CC-D951-E711-ABE8-0050568A3DF0}
21,unknown,911027001,911027016,911027,EO,0,,,{995727CC-D951-E711-ABE8-0050568A3DF0}
22,unknown,911028001,911028053,911028,EO,0,,,{9E5727CC-D951-E711-ABE8-0050568A3DF0}
31,unknown,920304019,920304019,920304,EO,0,,,{A05727CC-D951-E711-ABE8-0050568A3DF0}
34,unknown,920312015,920312020,920312,EO,0,,,{A45727CC-D951-E711-ABE8-0050568A3DF0}
35,unknown,920313001,920313020,920313,EO,0,,,{A55727CC-D951-E711-ABE8-0050568A3DF0}
36,unknown,920314001,920314011,920314,EO,0,,,{AA5727CC-D951-E711-ABE8-0050568A3DF0}
37,unknown,920316001,920316037,920316,EO,0,,,{AB5727CC-D951-E711-ABE8-0050568A3DF0}
38,unknown,920317001,920317028,920317,EO,0,,,{B05727CC-D951-E711-ABE8-0050568A3DF0}
39,unknown,920318001,920318027,920318,EO,0,,,{B15727CC-D951-E711-ABE8-0050568A3DF0}
40,unknown,920319001,920319014,920319,EO,0,,,{B65727CC-D951-E711-ABE8-0050568A3DF0}
41,unknown,920320001,920320019,920320,EO,0,,,{B75727CC-D951-E711-ABE8-0050568A3DF0}
42,unknown,920321001,920321029,920321,EO,0,,,{BC5727CC-D951-E711-ABE8-0050568A3DF0}
43,gwinn                         ,920322001,920322019,920322,EO,0,,,{BD5727CC-D951-E711-ABE8-0050568A3DF0}
44,gwinn                         ,920323001,920323035,920323,EO,0,,,{C25727CC-D951-E711-ABE8-0050568A3DF0}
45,unknown,920324001,920324043,920324,EO,0,,,{C35727CC-D951-E711-ABE8-0050568A3DF0}
46,unknown,920325001,920325035,920325,EO,0,,,{C85727CC-D951-E711-ABE8-0050568A3DF0}
47,unknown,920326001,920326030,920326,EO,0,,,{C95727CC-D951-E711-ABE8-0050568A3DF0}
48,unknown,920327001,920327020,920327,EO,0,,,{CE5727CC-D951-E711-ABE8-0050568A3DF0}
49,unknown,920330001,920330023,920330,EO,0,,,{CF5727CC-D951-E711-ABE8-0050568A3DF0}
50,unknown,920331002,920331011,920331,EO,0,,,{D45727CC-D951-E711-ABE8-0050568A3DF0}
51,unknown,920401001,920401029,920401,EO,0,,,{D55727CC-D951-E711-ABE8-0050568A3DF0}
52,unknown,920402001,920402012,920402,EO,0,,,{DA5727CC-D951-E711-ABE8-0050568A3DF0}
53,unknown,920406001,920406011,920406,EO,0,,,{F46127CC-D951-E711-ABE8-0050568A3DF0}
54,unknown,920407001,920407024,920407,EO,0,,,{F96127CC-D951-E711-ABE8-0050568A3DF0}
55,unknown,920408001,920408044,920408,EO,0,,,{FA6127CC-D951-E711-ABE8-0050568A3DF0}
56,unknown,920409001,920409031,920409,EO,0,,,{FF6127CC-D951-E711-ABE8-0050568A3DF0}
57,unknown,920410001,920410008,920410,EO,0,,,{006227CC-D951-E711-ABE8-0050568A3DF0}
58,unknown,921105002,921105492,921105,EO,0,,,{056227CC-D951-E711-ABE8-0050568A3DF0}
59,unknown,930428004,930428014,930428,EO,0,,,{066227CC-D951-E711-ABE8-0050568A3DF0}
60,unknown,930429001,930429008,930429,EO,0,,,{0B6227CC-D951-E711-ABE8-0050568A3DF0}
61,unknown,930430002,930430032,930430,EO,0,,,{0C6227CC-D951-E711-ABE8-0050568A3DF0}
62,unknown,930501001,930501020,930501,EO,0,,,{116227CC-D951-E711-ABE8-0050568A3DF0}
64,unknown,930504002,930504029,930504,EO,0,,,{136227CC-D951-E711-ABE8-0050568A3DF0}
65,unknown,930505001,930505009,930505,EO,0,,,{166227CC-D951-E711-ABE8-0050568A3DF0}
66,unknown,930506001,930506035,930506,EO,0,,,{196227CC-D951-E711-ABE8-0050568A3DF0}
67,fairfax                       ,930507001,930507018,930507,EO,0,,,{1C6227CC-D951-E711-ABE8-0050568A3DF0}
68,unknown,930508001,930508019,930508,EO,0,,,{1F6227CC-D951-E711-ABE8-0050568A3DF0}
69,unknown,930510001,930510012,930510,EO,0,,,{226227CC-D951-E711-ABE8-0050568A3DF0}
70,fairfax                       ,930511001,930511028,930511,EO,0,,,{256227CC-D951-E711-ABE8-0050568A3DF0}
71,unknown,930512001,930512025,930512,EO,0,,,{286227CC-D951-E711-ABE8-0050568A3DF0}
72,fairfax                       ,930513001,930513022,930513,EO,0,,,{2B6227CC-D951-E711-ABE8-0050568A3DF0}
73,silva                         ,930514001,930514028,930514,EO,0,,,{2E6227CC-D951-E711-ABE8-0050568A3DF0}
74,unknown,930517001,930517001,930517,EO,0,,,{316227CC-D951-E711-ABE8-0050568A3DF0}
75,unknown,930518001,930518021,930518,EO,0,,,{346227CC-D951-E711-ABE8-0050568A3DF0}
76,unknown,930519001,930519029,930519,EO,0,,,{376227CC-D951-E711-ABE8-0050568A3DF0}
77,bertolino                     ,930520001,930520034,930520,EO,0,,,{3A6227CC-D951-E711-ABE8-0050568A3DF0}
78,unknown,930521001,930521019,930521,EO,0,,,{3D6227CC-D951-E711-ABE8-0050568A3DF0}
79,unknown,930524002,930524007,930524,EO,0,,,{406227CC-D951-E711-ABE8-0050568A3DF0}
80,bertolino                     ,930525001,930525026,930525,EO,0,,,{436227CC-D951-E711-ABE8-0050568A3DF0}
81,unknown,930526001,930526027,930526,EO,0,,,{466227CC-D951-E711-ABE8-0050568A3DF0}
82,gwinn                         ,930527001,930527032,930527,EO,0,,,{496227CC-D951-E711-ABE8-0050568A3DF0}
83,unknown,930528001,930528001,930528,EO,0,,,{4C6227CC-D951-E711-ABE8-0050568A3DF0}
85,daigle                        ,930602001,930602026,930602,EO,0,,,{5D6227CC-D951-E711-ABE8-0050568A3DF0}
86,unknown,930603001,930603029,930603,EO,0,,,{606227CC-D951-E711-ABE8-0050568A3DF0}
87,daigle                        ,930604001,930604019,930604,EO,0,,,{636227CC-D951-E711-ABE8-0050568A3DF0}
88,unknown,930607001,930607003,930607,EO,0,,,{666227CC-D951-E711-ABE8-0050568A3DF0}
89,daigle                        ,930608001,930608025,930608,EO,0,,,{696227CC-D951-E711-ABE8-0050568A3DF0}
90,unknown,930609001,930609032,930609,EO,0,,,{6C6227CC-D951-E711-ABE8-0050568A3DF0}
91,bertolino                     ,930610001,930610002,930610,EO,0,,,{6F6227CC-D951-E711-ABE8-0050568A3DF0}
92,unknown,930611001,930611025,930611,EO,0,,,{726227CC-D951-E711-ABE8-0050568A3DF0}
94,unknown,930615001,930615025,930615,EO,0,,,{756227CC-D951-E711-ABE8-0050568A3DF0}
