USERNAME,ENTERED,RUN,BRIEF,DBKEY,GUID
COCHRAN,3/21/00,321,,1149,{323EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,10/15/91,911015,Test run (josh),519,{333EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,10/16/91,911016,Further attempts at field null and breakdown,520,{343EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,10/17/91,911017,Try for Plasma,521,{353EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,10/19/91,911019,"Saturday attempt at plasma, H, He, Ar",522,{363EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,10/21/91,911021,Further attempt at plasma,523,{373EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,10/22/91,911022,Attempt to produce some plasma current,524,{383EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,10/23/91,911023,Power supply and magnetics tests: no plasma,525,{393EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,10/24/91,911024,Attempt to produce plasma current,526,{3A3EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,10/27/91,911027,"EF4,OH2,EFC tests..TF shunt calibrations.",527,{3B3EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,10/28/91,911028,Final (?) attempt to get appreciable Ip.  RSG,528,{3C3EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,2/13/92,920213,This is a test,529,{3D3EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,2/14/92,920214,Josh Testing cycle,530,{3E3EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,2/25/92,920225,Josh testing,531,{3F3EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,2/26/92,920226,josh testing,532,{403EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,2/27/92,920227,Josh still testing,533,{413EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,2/28/92,920228,Josh Testing,534,{423EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,3/2/92,920302,ahh... test?,535,{433EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,3/3/92,920303,test,536,{443EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,3/4/92,920304,test of magnetics,537,{453EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,3/5/92,920305,Test new dispatching system,538,{463EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,3/11/92,920311,Data system testing,539,{473EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,3/12/92,920312,SHOT CYCLE TESTING,540,{483EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,3/13/92,920313,Josh testing Lams,541,{493EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,3/14/92,920314,Power Testing,542,{4A3EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,3/16/92,920316,"Testing of EF3, TMX power supplies",543,{4B3EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,3/17/92,920317,Power supply Tests for plasma run,544,{4C3EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,3/18/92,920318,"Testing EF1, EF2, EF3, EF4, OH1 Supplies.  Firstseveral shots will be wi",545,{4D3EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,3/19/92,920319,Testing of power supplies; maybe TF today,546,{4E3EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,3/20/92,920320,Testing of TMX power supplies.  Alternator Drivesystem is broken.,547,{4F3EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,3/21/92,920321,"Testing TMX supplies; alternator still down, maybe this afternoon",548,{503EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,3/22/92,920322,PF system tests - D. Gwinn in charge,549,{513EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,3/23/92,920323,Continuing Power Supply Tests - D. Gwinn at the controls.,550,{523EEF68-D951-E711-ABE8-0050568A3DF0}
FAIRFAX                        ,3/24/92,920324,"Plasma Attempt.  Still problems with EF1, OH1",553,{533EEF68-D951-E711-ABE8-0050568A3DF0}
FAIRFAX                        ,3/25/92,920325,All power supplies operational; plasma tests,554,{543EEF68-D951-E711-ABE8-0050568A3DF0}
FAIRFAX                        ,3/26/92,920326,Plasma attmepts at 3 Tesla,555,{553EEF68-D951-E711-ABE8-0050568A3DF0}
FAIRFAX                        ,3/27/92,920327,TF tests only; try for reliable 4 Tesla; if successful try for 5.3 Tesla,556,{563EEF68-D951-E711-ABE8-0050568A3DF0}
FAIRFAX                        ,3/30/92,920330,Plasma Tests.  4 Tesla if possible.,557,{573EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,3/31/92,920331,Josh Testing logbook,551,{583EEF68-D951-E711-ABE8-0050568A3DF0}
SILVA                          ,4/1/92,920401,Calibration of Bus Instrumentation,552,{593EEF68-D951-E711-ABE8-0050568A3DF0}
JAS                            ,4/2/92,920402,Data system testing,558,{5A3EEF68-D951-E711-ABE8-0050568A3DF0}
